male,round,n_obs,total_round,mean_round,sd_round,cv_round,total,mean
T234,1,13,203,40.6,31.965606517005117,0.7873302097784511,601,46.23076923076923
T235,1,13,882,176.4,131.8912430754976,0.747682783874703,2333,179.46153846153845
T236,1,13,758,151.6,45.9597650124541,0.3031646768631537,2095,161.15384615384616
T243,1,13,438,87.6,76.37604336439536,0.8718726411460658,1861,143.15384615384616
T244,1,13,270,54,14.696938456699069,0.2721655269759087,993,76.38461538461539
T246,1,5,253,50.6,54.5875443668242,1.0788052246407944,253,50.6
T247,1,14,546,109.2,62.379483806777365,0.5712406942012579,1487,106.21428571428571
T247,2,14,229,76.33333333333333,5.507570547286102,0.07215157922208867,1487,106.21428571428571
T236,2,13,603,201,27.83882181415011,0.13850160106542342,2095,161.15384615384616
T243,2,13,810,270,35.53871128783372,0.13162485662160636,1861,143.15384615384616
T234,2,13,104,34.666666666666664,5.507570547286102,0.15887222732556064,601,46.23076923076923
T244,2,13,225,75,33.77869150810907,0.4503825534414543,993,76.38461538461539
T235,2,13,241,80.33333333333333,42.0039680665212,0.5228709717824217,2333,179.46153846153845
T237,2,8,430,143.33333333333334,31.89566323708183,0.2225278830494081,1055,131.875
T247,3,14,712,118.66666666666667,40.32699674742302,0.33983424225356473,1487,106.21428571428571
T236,3,13,734,146.8,84.59728128019245,0.5762757580394581,2095,161.15384615384616
T235,3,13,1210,242,158.99685531481433,0.6570117988215468,2333,179.46153846153845
T234,3,13,294,58.8,18.074844397670482,0.30739531288555244,601,46.23076923076923
T244,3,13,498,99.6,25.92874852359828,0.26032880043773376,993,76.38461538461539
T237,3,8,625,125,39.5790348543266,0.3166322788346128,1055,131.875
T243,3,13,613,122.6,55.859645541302896,0.45562516754733196,1861,143.15384615384616
T258,3,5,171,34.2,27.73445510551812,0.8109489796935122,171,34.2
T257,3,5,1160,232,61.11464636239009,0.2634251998378883,1160,232
T260,3,5,456,91.2,61.12037303551083,0.670179528898145,456,91.2
