"","BirdID","blindID","Treatment","RoV","total.num.motifs","num.songs"
"1","T229","L","Experimental","Visual",6,2
"2","T229","B","Experimental","Real",18,4
"3","T234","N","Control","Visual",13,3
"4","T234","F","Control","Real",24,7
"5","T236","H","Control","Visual",140,36
"6","T236","P","Control","Real",101,19
"7","T237","J","Experimental","Visual",53,10
"8","T237","Z","Experimental","Real",39,9
"9","T243","OO","Control","Visual",44,6
"10","T243","A","Control","Real",78,13
"11","T247","K","Experimental","Visual",18,2
"12","T247","YY","Experimental","Real",10,3
"13","T257","AA","","Visual",0,0
"14","T257","T","","Real",0,1
"15","T258","U","","Visual",0,0
"16","T258","XX","","Real",0,0
"17","T260","C","Experimental","Visual",11,3
"18","T260","O","Experimental","Real",62,8
"19","T265","E","Experimental","Visual",20,4
"20","T265","Y","Experimental","Real",0,1
"21","T266","EE","","Visual",0,1
"22","T266","S","","Real",0,0
"23","T267","JJ","Control","Visual",9,3
"24","T267","G","Control","Real",38,14
"25","T268","I","Experimental","Visual",3,1
"26","T268","II","Experimental","Real",21,7
"27","T269","WW","Experimental","Visual",12,2
"28","T269","R","Experimental","Real",19,7
"29","T270","PP","Experimental","Visual",127,32
"30","T270","V","Experimental","Real",272,83
"31","T271","FF","Experimental","Visual",64,20
"32","T271","Q","Experimental","Real",57,15
"33","T273","X","Experimental","Visual",26,6
"34","T273","QQ","Experimental","Real",8,1
"35","T275","VV","","Visual",0,0
"36","T275","GG","","Real",0,0
"37","T276","HH","Experimental","Visual",17,4
"38","T276","W","Experimental","Real",16,2
"39","T277","UU","Experimental","Visual",48,16
"40","T277","LL","Experimental","Real",110,40
"41","T287","ZZ","Experimental","Visual",22,5
"42","T287","KK","Experimental","Real",17,4
"43","T291","SS","Control","Visual",127,28
"44","T291","CCC","Control","Real",170,40
"45","T292",NA,"","Visual",0,NA
"46","T292","HHH","","Real",0,0
"47","T293","GGG","Experimental","Visual",11,4
"48","T293","DDD","Experimental","Real",10,2
"49","T294","RR","Control","Visual",19,6
"50","T294","EEE","Control","Real",24,9
"51","T295","BBB","Experimental","Visual",3,1
"52","T295","FFF","Experimental","Real",16,4
"53","T296","AAA","Control","Visual",24,6
"54","T296","CC","Control","Real",3,1
"55","T297","NN","Experimental","Visual",14,1
"56","T297","TT","Experimental","Real",6,1
"57","T298","BB","Experimental","Visual",2,1
"58","T298","DD","Experimental","Real",71,38
